CA High School,Calculation1,City,County,Measure Names,Measure Values
ACADEMY OUR LADY OF PEACE,ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,Adm GPA,3.899090909
ACADEMY OUR LADY OF PEACE,ACADEMY OUR LADY OF PEACE052820,San Diego,San Diego,App GPA,3.736764706
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Enrl GPA,3.798541667
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Adm GPA,3.803333333
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,App GPA,3.712251656
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Enrl GPA,4.095142857
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Adm GPA,4.024098361
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,App GPA,3.806530612
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Enrl GPA,4.006136364
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Adm GPA,4.012933333
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,App GPA,3.839259259
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Enrl GPA,4.163333333
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Adm GPA,4.011666667
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,App GPA,3.75
AGBU VATCHE AND TAMAR MANOUKIAN HS,AGBU VATCHE AND TAMAR MANOUKIAN HS054246,Pasadena,Los Angeles,Enrl GPA,4.191666667
AGBU VATCHE AND TAMAR MANOUKIAN HS,AGBU VATCHE AND TAMAR MANOUKIAN HS054246,Pasadena,Los Angeles,Adm GPA,4.025
AGBU VATCHE AND TAMAR MANOUKIAN HS,AGBU VATCHE AND TAMAR MANOUKIAN HS054246,Pasadena,Los Angeles,App GPA,3.81
