CA High School,Calculation1,City,County,Measure Names,Measure Values
CESAR CHAVEZ HIGH SCHOOL,CESAR CHAVEZ HIGH SCHOOL053966,Stockton,San Joaquin,Applicants,42
CESAR E CHAVEZ HIGH SCHOOL,CESAR E CHAVEZ HIGH SCHOOL050841,Delano,Kern,Enrollees,19
CESAR E CHAVEZ HIGH SCHOOL,CESAR E CHAVEZ HIGH SCHOOL050841,Delano,Kern,Admits,32
CESAR E CHAVEZ HIGH SCHOOL,CESAR E CHAVEZ HIGH SCHOOL050841,Delano,Kern,Applicants,43
CHADWICK SCHOOL,CHADWICK SCHOOL052680,Palos Verdes Estate,Los Angeles,Enrollees,7
CHADWICK SCHOOL,CHADWICK SCHOOL052680,Palos Verdes Estate,Los Angeles,Admits,26
CHADWICK SCHOOL,CHADWICK SCHOOL052680,Palos Verdes Estate,Los Angeles,Applicants,44
CHAFFEY HIGH SCHOOL,CHAFFEY HIGH SCHOOL052275,Ontario,San Bernardino,Enrollees,35
CHAFFEY HIGH SCHOOL,CHAFFEY HIGH SCHOOL052275,Ontario,San Bernardino,Admits,58
CHAFFEY HIGH SCHOOL,CHAFFEY HIGH SCHOOL052275,Ontario,San Bernardino,Applicants,107
CHAMINADE COLLEGE PREPARATORY,CHAMINADE COLLEGE PREPARATORY051565,West Hills,Los Angeles,Enrollees,48
CHAMINADE COLLEGE PREPARATORY,CHAMINADE COLLEGE PREPARATORY051565,West Hills,Los Angeles,Admits,105
CHAMINADE COLLEGE PREPARATORY,CHAMINADE COLLEGE PREPARATORY051565,West Hills,Los Angeles,Applicants,183
CHANNEL ISLANDS HIGH SCHOOL,CHANNEL ISLANDS HIGH SCHOOL052297,Oxnard,Ventura,Enrollees,18
CHANNEL ISLANDS HIGH SCHOOL,CHANNEL ISLANDS HIGH SCHOOL052297,Oxnard,Ventura,Admits,30
CHANNEL ISLANDS HIGH SCHOOL,CHANNEL ISLANDS HIGH SCHOOL052297,Oxnard,Ventura,Applicants,64
CHAPARRAL HIGH SCHOOL,CHAPARRAL HIGH SCHOOL053539,Temecula,Riverside,Enrollees,55
CHAPARRAL HIGH SCHOOL,CHAPARRAL HIGH SCHOOL053539,Temecula,Riverside,Admits,101
CHAPARRAL HIGH SCHOOL,CHAPARRAL HIGH SCHOOL053539,Temecula,Riverside,Applicants,149
CHARTER HS ARTS MEDIA PERFORM,CHARTER HS ARTS MEDIA PERFORM054046,Van Nuys,Los Angeles,Enrollees,14
CHARTER HS ARTS MEDIA PERFORM,CHARTER HS ARTS MEDIA PERFORM054046,Van Nuys,Los Angeles,Admits,41
CHARTER HS ARTS MEDIA PERFORM,CHARTER HS ARTS MEDIA PERFORM054046,Van Nuys,Los Angeles,Applicants,75
CHARTER OAK HIGH SCHOOL,CHARTER OAK HIGH SCHOOL050693,Covina,Los Angeles,Enrollees,26
CHARTER OAK HIGH SCHOOL,CHARTER OAK HIGH SCHOOL050693,Covina,Los Angeles,Admits,43
CHARTER OAK HIGH SCHOOL,CHARTER OAK HIGH SCHOOL050693,Covina,Los Angeles,Applicants,82
CHARTER SCHOOL OF SAN DIEGO,CHARTER SCHOOL OF SAN DIEGO052831,San Diego,San Diego,Enrollees,5
CHARTER SCHOOL OF SAN DIEGO,CHARTER SCHOOL OF SAN DIEGO052831,San Diego,San Diego,Admits,6
CHARTER SCHOOL OF SAN DIEGO,CHARTER SCHOOL OF SAN DIEGO052831,San Diego,San Diego,Applicants,11
CHATSWORTH HIGH SCHOOL,CHATSWORTH HIGH SCHOOL050528,Chatsworth,Los Angeles,Enrollees,28
CHATSWORTH HIGH SCHOOL,CHATSWORTH HIGH SCHOOL050528,Chatsworth,Los Angeles,Admits,46
CHATSWORTH HIGH SCHOOL,CHATSWORTH HIGH SCHOOL050528,Chatsworth,Los Angeles,Applicants,93
CHESTER HIGH SCHOOL,CHESTER HIGH SCHOOL050535,Chester,Plumas,Enrollees,
CHESTER HIGH SCHOOL,CHESTER HIGH SCHOOL050535,Chester,Plumas,Admits,3
CHESTER HIGH SCHOOL,CHESTER HIGH SCHOOL050535,Chester,Plumas,Applicants,5
CHICO SENIOR HIGH SCHOOL,CHICO SENIOR HIGH SCHOOL050545,Chico,Butte,Enrollees,15
CHICO SENIOR HIGH SCHOOL,CHICO SENIOR HIGH SCHOOL050545,Chico,Butte,Admits,27
CHICO SENIOR HIGH SCHOOL,CHICO SENIOR HIGH SCHOOL050545,Chico,Butte,Applicants,42
CHINESE CHRISTIAN HIGH SCHOOL,CHINESE CHRISTIAN HIGH SCHOOL052191,Alameda,Alameda,Enrollees,12
CHINESE CHRISTIAN HIGH SCHOOL,CHINESE CHRISTIAN HIGH SCHOOL052191,Alameda,Alameda,Admits,29
CHINESE CHRISTIAN HIGH SCHOOL,CHINESE CHRISTIAN HIGH SCHOOL052191,Alameda,Alameda,Applicants,39
CHINO HIGH SCHOOL,CHINO HIGH SCHOOL050555,Chino,San Bernardino,Enrollees,29
CHINO HIGH SCHOOL,CHINO HIGH SCHOOL050555,Chino,San Bernardino,Admits,44
CHINO HIGH SCHOOL,CHINO HIGH SCHOOL050555,Chino,San Bernardino,Applicants,72
CHINO HILLS HIGH SCHOOL,CHINO HILLS HIGH SCHOOL050564,Chino Hills,San Bernardino,Enrollees,68
CHINO HILLS HIGH SCHOOL,CHINO HILLS HIGH SCHOOL050564,Chino Hills,San Bernardino,Admits,112
CHINO HILLS HIGH SCHOOL,CHINO HILLS HIGH SCHOOL050564,Chino Hills,San Bernardino,Applicants,184
CHOWCHILLA UNION HIGH SCHOOL,CHOWCHILLA UNION HIGH SCHOOL050570,Chowchilla,Madera,Enrollees,6
CHOWCHILLA UNION HIGH SCHOOL,CHOWCHILLA UNION HIGH SCHOOL050570,Chowchilla,Madera,Admits,9
CHOWCHILLA UNION HIGH SCHOOL,CHOWCHILLA UNION HIGH SCHOOL050570,Chowchilla,Madera,Applicants,17
CHRISTBRIDGE ACADEMY,CHRISTBRIDGE ACADEMY052412,Azusa,Los Angeles,Enrollees,
CHRISTBRIDGE ACADEMY,CHRISTBRIDGE ACADEMY052412,Azusa,Los Angeles,Admits,3
CHRISTBRIDGE ACADEMY,CHRISTBRIDGE ACADEMY052412,Azusa,Los Angeles,Applicants,6
CHRISTIAN BROTHERS HIGH SCHOOL,CHRISTIAN BROTHERS HIGH SCHOOL052697,Sacramento,Sacramento,Enrollees,35
CHRISTIAN BROTHERS HIGH SCHOOL,CHRISTIAN BROTHERS HIGH SCHOOL052697,Sacramento,Sacramento,Admits,55
CHRISTIAN BROTHERS HIGH SCHOOL,CHRISTIAN BROTHERS HIGH SCHOOL052697,Sacramento,Sacramento,Applicants,88
CHRISTIAN HIGH SCHOOL,CHRISTIAN HIGH SCHOOL052836,El Cajon,San Diego,Enrollees,8
CHRISTIAN HIGH SCHOOL,CHRISTIAN HIGH SCHOOL052836,El Cajon,San Diego,Admits,18
CHRISTIAN HIGH SCHOOL,CHRISTIAN HIGH SCHOOL052836,El Cajon,San Diego,Applicants,31
CHRISTOPHER HIGH SCHOOL,CHRISTOPHER HIGH SCHOOL054364,Gilroy,Santa Clara,Enrollees,13
CHRISTOPHER HIGH SCHOOL,CHRISTOPHER HIGH SCHOOL054364,Gilroy,Santa Clara,Admits,37
CHRISTOPHER HIGH SCHOOL,CHRISTOPHER HIGH SCHOOL054364,Gilroy,Santa Clara,Applicants,60
CHULA VISTA SENIOR HIGH SCHOOL,CHULA VISTA SENIOR HIGH SCHOOL050580,Chula Vista,San Diego,Enrollees,24
CHULA VISTA SENIOR HIGH SCHOOL,CHULA VISTA SENIOR HIGH SCHOOL050580,Chula Vista,San Diego,Admits,38
CHULA VISTA SENIOR HIGH SCHOOL,CHULA VISTA SENIOR HIGH SCHOOL050580,Chula Vista,San Diego,Applicants,87
CITRUS HILL HIGH SCHOOL,CITRUS HILL HIGH SCHOOL053978,Perris,Riverside,Enrollees,45
CITRUS HILL HIGH SCHOOL,CITRUS HILL HIGH SCHOOL053978,Perris,Riverside,Admits,59
CITRUS HILL HIGH SCHOOL,CITRUS HILL HIGH SCHOOL053978,Perris,Riverside,Applicants,100
CITRUS VALLEY HIGH SCHOOL,CITRUS VALLEY HIGH SCHOOL054331,Redlands,San Bernardino,Enrollees,26
CITRUS VALLEY HIGH SCHOOL,CITRUS VALLEY HIGH SCHOOL054331,Redlands,San Bernardino,Admits,56
CITRUS VALLEY HIGH SCHOOL,CITRUS VALLEY HIGH SCHOOL054331,Redlands,San Bernardino,Applicants,92
CITY ARTS AND TECH HIGH SCHOOL,CITY ARTS AND TECH HIGH SCHOOL054047,San Francisco,San Francisco,Enrollees,9
CITY ARTS AND TECH HIGH SCHOOL,CITY ARTS AND TECH HIGH SCHOOL054047,San Francisco,San Francisco,Admits,17
CITY ARTS AND TECH HIGH SCHOOL,CITY ARTS AND TECH HIGH SCHOOL054047,San Francisco,San Francisco,Applicants,34
CITY HONORS HIGH SCHOOL,CITY HONORS HIGH SCHOOL051261,Inglewood,Los Angeles,Enrollees,15
CITY HONORS HIGH SCHOOL,CITY HONORS HIGH SCHOOL051261,Inglewood,Los Angeles,Admits,30
CITY HONORS HIGH SCHOOL,CITY HONORS HIGH SCHOOL051261,Inglewood,Los Angeles,Applicants,68
CITY OF ANGELS SCHOOL,CITY OF ANGELS SCHOOL052608,Los Angeles,Los Angeles,Enrollees,
CITY OF ANGELS SCHOOL,CITY OF ANGELS SCHOOL052608,Los Angeles,Los Angeles,Admits,6
CITY OF ANGELS SCHOOL,CITY OF ANGELS SCHOOL052608,Los Angeles,Los Angeles,Applicants,12
CITY OF KNOWLEDGE,CITY OF KNOWLEDGE052518,Pomona,Los Angeles,Enrollees,3
CITY OF KNOWLEDGE,CITY OF KNOWLEDGE052518,Pomona,Los Angeles,Admits,4
CITY OF KNOWLEDGE,CITY OF KNOWLEDGE052518,Pomona,Los Angeles,Applicants,7
CIVITAS SCHOOL OF LEADERSHIP,CIVITAS SCHOOL OF LEADERSHIP054295,Los Angeles,Los Angeles,Enrollees,4
CIVITAS SCHOOL OF LEADERSHIP,CIVITAS SCHOOL OF LEADERSHIP054295,Los Angeles,Los Angeles,Admits,7
CIVITAS SCHOOL OF LEADERSHIP,CIVITAS SCHOOL OF LEADERSHIP054295,Los Angeles,Los Angeles,Applicants,12
CLAIREMONT HIGH SCHOOL,CLAIREMONT HIGH SCHOOL052837,San Diego,San Diego,Enrollees,14
CLAIREMONT HIGH SCHOOL,CLAIREMONT HIGH SCHOOL052837,San Diego,San Diego,Admits,30
CLAIREMONT HIGH SCHOOL,CLAIREMONT HIGH SCHOOL052837,San Diego,San Diego,Applicants,49
CLAREMONT HIGH SCHOOL,CLAREMONT HIGH SCHOOL050590,Claremont,Los Angeles,Enrollees,53
CLAREMONT HIGH SCHOOL,CLAREMONT HIGH SCHOOL050590,Claremont,Los Angeles,Admits,128
CLAREMONT HIGH SCHOOL,CLAREMONT HIGH SCHOOL050590,Claremont,Los Angeles,Applicants,183
CLARK MAGNET HIGH SCHOOL,CLARK MAGNET HIGH SCHOOL051301,La Crescenta,Los Angeles,Enrollees,36
CLARK MAGNET HIGH SCHOOL,CLARK MAGNET HIGH SCHOOL051301,La Crescenta,Los Angeles,Admits,55
CLARK MAGNET HIGH SCHOOL,CLARK MAGNET HIGH SCHOOL051301,La Crescenta,Los Angeles,Applicants,85
CLASSICAL ACADEMY HIGH SCHOOL,CLASSICAL ACADEMY HIGH SCHOOL054194,Escondido,San Diego,Enrollees,4
CLASSICAL ACADEMY HIGH SCHOOL,CLASSICAL ACADEMY HIGH SCHOOL054194,Escondido,San Diego,Admits,13
CLASSICAL ACADEMY HIGH SCHOOL,CLASSICAL ACADEMY HIGH SCHOOL054194,Escondido,San Diego,Applicants,24
CLAYTON VALLEY HIGH SCHOOL,CLAYTON VALLEY HIGH SCHOOL050658,Concord,Contra Costa,Enrollees,40
CLAYTON VALLEY HIGH SCHOOL,CLAYTON VALLEY HIGH SCHOOL050658,Concord,Contra Costa,Admits,70
CLAYTON VALLEY HIGH SCHOOL,CLAYTON VALLEY HIGH SCHOOL050658,Concord,Contra Costa,Applicants,116
CLEAR LAKE HIGH SCHOOL,CLEAR LAKE HIGH SCHOOL051345,Lakeport,Lake,Enrollees,5
CLEAR LAKE HIGH SCHOOL,CLEAR LAKE HIGH SCHOOL051345,Lakeport,Lake,Admits,6
CLEAR LAKE HIGH SCHOOL,CLEAR LAKE HIGH SCHOOL051345,Lakeport,Lake,Applicants,9
CLEVELAND HIGH SCHOOL,CLEVELAND HIGH SCHOOL052618,Reseda,Los Angeles,Enrollees,71
CLEVELAND HIGH SCHOOL,CLEVELAND HIGH SCHOOL052618,Reseda,Los Angeles,Admits,137
CLEVELAND HIGH SCHOOL,CLEVELAND HIGH SCHOOL052618,Reseda,Los Angeles,Applicants,219
CLOVERDALE HIGH SCHOOL,CLOVERDALE HIGH SCHOOL050610,Cloverdale,Sonoma,Enrollees,
CLOVERDALE HIGH SCHOOL,CLOVERDALE HIGH SCHOOL050610,Cloverdale,Sonoma,Admits,3
CLOVERDALE HIGH SCHOOL,CLOVERDALE HIGH SCHOOL050610,Cloverdale,Sonoma,Applicants,12
CLOVIS EAST HIGH SCHOOL,CLOVIS EAST HIGH SCHOOL050622,Clovis,Fresno,Enrollees,23
CLOVIS EAST HIGH SCHOOL,CLOVIS EAST HIGH SCHOOL050622,Clovis,Fresno,Admits,40
CLOVIS EAST HIGH SCHOOL,CLOVIS EAST HIGH SCHOOL050622,Clovis,Fresno,Applicants,51
CLOVIS HIGH SCHOOL,CLOVIS HIGH SCHOOL050615,Clovis,Fresno,Enrollees,25
CLOVIS HIGH SCHOOL,CLOVIS HIGH SCHOOL050615,Clovis,Fresno,Admits,52
CLOVIS HIGH SCHOOL,CLOVIS HIGH SCHOOL050615,Clovis,Fresno,Applicants,72
CLOVIS NORTH HIGH SCHOOL,CLOVIS NORTH HIGH SCHOOL050628,Fresno,Fresno,Enrollees,45
CLOVIS NORTH HIGH SCHOOL,CLOVIS NORTH HIGH SCHOOL050628,Fresno,Fresno,Admits,88
CLOVIS NORTH HIGH SCHOOL,CLOVIS NORTH HIGH SCHOOL050628,Fresno,Fresno,Applicants,114
CLOVIS WEST HIGH SCHOOL,CLOVIS WEST HIGH SCHOOL050982,Fresno,Fresno,Enrollees,26
CLOVIS WEST HIGH SCHOOL,CLOVIS WEST HIGH SCHOOL050982,Fresno,Fresno,Admits,51
CLOVIS WEST HIGH SCHOOL,CLOVIS WEST HIGH SCHOOL050982,Fresno,Fresno,Applicants,85
COACHELLA VALLEY HIGH SCHOOL,COACHELLA VALLEY HIGH SCHOOL050620,Thermal,Riverside,Enrollees,38
COACHELLA VALLEY HIGH SCHOOL,COACHELLA VALLEY HIGH SCHOOL050620,Thermal,Riverside,Admits,51
COACHELLA VALLEY HIGH SCHOOL,COACHELLA VALLEY HIGH SCHOOL050620,Thermal,Riverside,Applicants,87
COALINGA HIGH SCHOOL,COALINGA HIGH SCHOOL050630,Coalinga,Fresno,Enrollees,3
COALINGA HIGH SCHOOL,COALINGA HIGH SCHOOL050630,Coalinga,Fresno,Admits,8
COALINGA HIGH SCHOOL,COALINGA HIGH SCHOOL050630,Coalinga,Fresno,Applicants,15
COAST UNION HIGH SCHOOL,COAST UNION HIGH SCHOOL050440,Cambria,San Luis Obispo,Enrollees,6
COAST UNION HIGH SCHOOL,COAST UNION HIGH SCHOOL050440,Cambria,San Luis Obispo,Admits,8
COAST UNION HIGH SCHOOL,COAST UNION HIGH SCHOOL050440,Cambria,San Luis Obispo,Applicants,11
COLFAX HIGH SCHOOL,COLFAX HIGH SCHOOL050637,Colfax,Placer,Enrollees,10
COLFAX HIGH SCHOOL,COLFAX HIGH SCHOOL050637,Colfax,Placer,Admits,23
COLFAX HIGH SCHOOL,COLFAX HIGH SCHOOL050637,Colfax,Placer,Applicants,31
COLISEUM COLLEGE PREP ACADEMY,COLISEUM COLLEGE PREP ACADEMY054412,Oakland,Alameda,Enrollees,
COLISEUM COLLEGE PREP ACADEMY,COLISEUM COLLEGE PREP ACADEMY054412,Oakland,Alameda,Admits,3
COLISEUM COLLEGE PREP ACADEMY,COLISEUM COLLEGE PREP ACADEMY054412,Oakland,Alameda,Applicants,7
COLLEGE PARK HIGH SCHOOL,COLLEGE PARK HIGH SCHOOL050659,Pleasant Hill,Contra Costa,Enrollees,23
COLLEGE PARK HIGH SCHOOL,COLLEGE PARK HIGH SCHOOL050659,Pleasant Hill,Contra Costa,Admits,50
COLLEGE PARK HIGH SCHOOL,COLLEGE PARK HIGH SCHOOL050659,Pleasant Hill,Contra Costa,Applicants,79
COLLEGE PREPARATORY SCHOOL,COLLEGE PREPARATORY SCHOOL052192,Oakland,Alameda,Enrollees,13
COLLEGE PREPARATORY SCHOOL,COLLEGE PREPARATORY SCHOOL052192,Oakland,Alameda,Admits,45
COLLEGE PREPARATORY SCHOOL,COLLEGE PREPARATORY SCHOOL052192,Oakland,Alameda,Applicants,64
COLONY HIGH SCHOOL,COLONY HIGH SCHOOL052384,Ontario,San Bernardino,Enrollees,36
COLONY HIGH SCHOOL,COLONY HIGH SCHOOL052384,Ontario,San Bernardino,Admits,48
COLONY HIGH SCHOOL,COLONY HIGH SCHOOL052384,Ontario,San Bernardino,Applicants,76
COLTON HIGH SCHOOL,COLTON HIGH SCHOOL050640,Colton,San Bernardino,Enrollees,7
COLTON HIGH SCHOOL,COLTON HIGH SCHOOL050640,Colton,San Bernardino,Admits,17
COLTON HIGH SCHOOL,COLTON HIGH SCHOOL050640,Colton,San Bernardino,Applicants,35
COLUSA HIGH SCHOOL,COLUSA HIGH SCHOOL050645,Colusa,Colusa,Enrollees,
COLUSA HIGH SCHOOL,COLUSA HIGH SCHOOL050645,Colusa,Colusa,Admits,5
COLUSA HIGH SCHOOL,COLUSA HIGH SCHOOL050645,Colusa,Colusa,Applicants,7
COMMUNITY HEALTH ADVOCATES SCH,COMMUNITY HEALTH ADVOCATES SCH054633,Los Angeles,Los Angeles,Enrollees,
COMMUNITY HEALTH ADVOCATES SCH,COMMUNITY HEALTH ADVOCATES SCH054633,Los Angeles,Los Angeles,Admits,3
COMMUNITY HEALTH ADVOCATES SCH,COMMUNITY HEALTH ADVOCATES SCH054633,Los Angeles,Los Angeles,Applicants,9
COMPTON SENIOR HIGH SCHOOL,COMPTON SENIOR HIGH SCHOOL050651,Compton,Los Angeles,Enrollees,13
COMPTON SENIOR HIGH SCHOOL,COMPTON SENIOR HIGH SCHOOL050651,Compton,Los Angeles,Admits,23
COMPTON SENIOR HIGH SCHOOL,COMPTON SENIOR HIGH SCHOOL050651,Compton,Los Angeles,Applicants,55
CONCORD HIGH SCHOOL,CONCORD HIGH SCHOOL050657,Concord,Contra Costa,Enrollees,19
CONCORD HIGH SCHOOL,CONCORD HIGH SCHOOL050657,Concord,Contra Costa,Admits,30
CONCORD HIGH SCHOOL,CONCORD HIGH SCHOOL050657,Concord,Contra Costa,Applicants,46
CONCORDIA JR/SR HIGH SCHOOL,CONCORDIA JR/SR HIGH SCHOOL051690,Sylmar,Los Angeles,Enrollees,4
CONCORDIA JR/SR HIGH SCHOOL,CONCORDIA JR/SR HIGH SCHOOL051690,Sylmar,Los Angeles,Admits,6
CONCORDIA JR/SR HIGH SCHOOL,CONCORDIA JR/SR HIGH SCHOOL051690,Sylmar,Los Angeles,Applicants,12
CONNECTING WATERS CHARTER SCH,CONNECTING WATERS CHARTER SCH053706,Waterford,Stanislaus,Enrollees,
CONNECTING WATERS CHARTER SCH,CONNECTING WATERS CHARTER SCH053706,Waterford,Stanislaus,Admits,4
CONNECTING WATERS CHARTER SCH,CONNECTING WATERS CHARTER SCH053706,Waterford,Stanislaus,Applicants,5
CONTRA COSTA CHRISTIAN HS,CONTRA COSTA CHRISTIAN HS051316,Walnut Creek,Contra Costa,Enrollees,
CONTRA COSTA CHRISTIAN HS,CONTRA COSTA CHRISTIAN HS051316,Walnut Creek,Contra Costa,Admits,6
CONTRA COSTA CHRISTIAN HS,CONTRA COSTA CHRISTIAN HS051316,Walnut Creek,Contra Costa,Applicants,8
CONVENT OF THE SACRED HEART HS,CONVENT OF THE SACRED HEART HS052935,San Francisco,San Francisco,Enrollees,3
CONVENT OF THE SACRED HEART HS,CONVENT OF THE SACRED HEART HS052935,San Francisco,San Francisco,Admits,12
CONVENT OF THE SACRED HEART HS,CONVENT OF THE SACRED HEART HS052935,San Francisco,San Francisco,Applicants,19
CORCORAN HIGH SCHOOL,CORCORAN HIGH SCHOOL050665,Corcoran,Kings,Enrollees,10
CORCORAN HIGH SCHOOL,CORCORAN HIGH SCHOOL050665,Corcoran,Kings,Admits,19
CORCORAN HIGH SCHOOL,CORCORAN HIGH SCHOOL050665,Corcoran,Kings,Applicants,27
CORDOVA HIGH SCHOOL,CORDOVA HIGH SCHOOL052553,Rancho Cordova,Sacramento,Enrollees,23
CORDOVA HIGH SCHOOL,CORDOVA HIGH SCHOOL052553,Rancho Cordova,Sacramento,Admits,41
CORDOVA HIGH SCHOOL,CORDOVA HIGH SCHOOL052553,Rancho Cordova,Sacramento,Applicants,56
CORE BUTTE CHARTER SCHOOL,CORE BUTTE CHARTER SCHOOL054171,Chico,Butte,Enrollees,
CORE BUTTE CHARTER SCHOOL,CORE BUTTE CHARTER SCHOOL054171,Chico,Butte,Admits,4
CORE BUTTE CHARTER SCHOOL,CORE BUTTE CHARTER SCHOOL054171,Chico,Butte,Applicants,6
CORNELIA CONNELLY SCHOOL,CORNELIA CONNELLY SCHOOL050082,Anaheim,Orange,Enrollees,7
CORNELIA CONNELLY SCHOOL,CORNELIA CONNELLY SCHOOL050082,Anaheim,Orange,Admits,12
CORNELIA CONNELLY SCHOOL,CORNELIA CONNELLY SCHOOL050082,Anaheim,Orange,Applicants,17
CORNERSTONE ACADEMY COLL PREP,CORNERSTONE ACADEMY COLL PREP052937,San Francisco,San Francisco,Enrollees,3
CORNERSTONE ACADEMY COLL PREP,CORNERSTONE ACADEMY COLL PREP052937,San Francisco,San Francisco,Admits,5
CORNERSTONE ACADEMY COLL PREP,CORNERSTONE ACADEMY COLL PREP052937,San Francisco,San Francisco,Applicants,7
CORNERSTONE CHRISTIAN SCHOOL,CORNERSTONE CHRISTIAN SCHOOL053771,Wildomar,Riverside,Enrollees,
CORNERSTONE CHRISTIAN SCHOOL,CORNERSTONE CHRISTIAN SCHOOL053771,Wildomar,Riverside,Admits,3
CORNERSTONE CHRISTIAN SCHOOL,CORNERSTONE CHRISTIAN SCHOOL053771,Wildomar,Riverside,Applicants,7
CORONA DEL MAR HIGH SCHOOL,CORONA DEL MAR HIGH SCHOOL052128,Newport Beach,Orange,Enrollees,56
CORONA DEL MAR HIGH SCHOOL,CORONA DEL MAR HIGH SCHOOL052128,Newport Beach,Orange,Admits,118
CORONA DEL MAR HIGH SCHOOL,CORONA DEL MAR HIGH SCHOOL052128,Newport Beach,Orange,Applicants,188
CORONA HIGH SCHOOL,CORONA HIGH SCHOOL050675,Corona,Riverside,Enrollees,42
CORONA HIGH SCHOOL,CORONA HIGH SCHOOL050675,Corona,Riverside,Admits,61
CORONA HIGH SCHOOL,CORONA HIGH SCHOOL050675,Corona,Riverside,Applicants,112
CORONADO HIGH SCHOOL,CORONADO HIGH SCHOOL050680,Coronado,San Diego,Enrollees,28
CORONADO HIGH SCHOOL,CORONADO HIGH SCHOOL050680,Coronado,San Diego,Admits,67
CORONADO HIGH SCHOOL,CORONADO HIGH SCHOOL050680,Coronado,San Diego,Applicants,128
COSTA MESA HIGH SCHOOL,COSTA MESA HIGH SCHOOL050683,Costa Mesa,Orange,Enrollees,22
COSTA MESA HIGH SCHOOL,COSTA MESA HIGH SCHOOL050683,Costa Mesa,Orange,Admits,31
COSTA MESA HIGH SCHOOL,COSTA MESA HIGH SCHOOL050683,Costa Mesa,Orange,Applicants,43
COSUMNES OAKS HIGH SCHOOL,COSUMNES OAKS HIGH SCHOOL054204,Elk Grove,Sacramento,Enrollees,40
COSUMNES OAKS HIGH SCHOOL,COSUMNES OAKS HIGH SCHOOL054204,Elk Grove,Sacramento,Admits,72
COSUMNES OAKS HIGH SCHOOL,COSUMNES OAKS HIGH SCHOOL054204,Elk Grove,Sacramento,Applicants,97
COVINA HIGH SCHOOL,COVINA HIGH SCHOOL050700,Covina,Los Angeles,Enrollees,20
COVINA HIGH SCHOOL,COVINA HIGH SCHOOL050700,Covina,Los Angeles,Admits,28
COVINA HIGH SCHOOL,COVINA HIGH SCHOOL050700,Covina,Los Angeles,Applicants,51
CRAWFORD CHAMPS,CRAWFORD CHAMPS053896,San Diego,San Diego,Enrollees,3
CRAWFORD CHAMPS,CRAWFORD CHAMPS053896,San Diego,San Diego,Admits,4
CRAWFORD CHAMPS,CRAWFORD CHAMPS053896,San Diego,San Diego,Applicants,6
CRAWFORD HIGH SCHOOL,CRAWFORD HIGH SCHOOL054630,San Diego,San Diego,Enrollees,14
CRAWFORD HIGH SCHOOL,CRAWFORD HIGH SCHOOL054630,San Diego,San Diego,Admits,33
CRAWFORD HIGH SCHOOL,CRAWFORD HIGH SCHOOL054630,San Diego,San Diego,Applicants,68
CREAN LUTHERAN HIGH SCHOOL,CREAN LUTHERAN HIGH SCHOOL051298,Irvine,Orange,Enrollees,21
CREAN LUTHERAN HIGH SCHOOL,CREAN LUTHERAN HIGH SCHOOL051298,Irvine,Orange,Admits,39
CREAN LUTHERAN HIGH SCHOOL,CREAN LUTHERAN HIGH SCHOOL051298,Irvine,Orange,Applicants,64
CREATIVE & PERFORMING ARTS HS,CREATIVE & PERFORMING ARTS HS052900,San Diego,San Diego,Enrollees,
CREATIVE & PERFORMING ARTS HS,CREATIVE & PERFORMING ARTS HS052900,San Diego,San Diego,Admits,4
CREATIVE & PERFORMING ARTS HS,CREATIVE & PERFORMING ARTS HS052900,San Diego,San Diego,Applicants,8
CRENSHAW ARTS/TECH CHARTER HS,CRENSHAW ARTS/TECH CHARTER HS053910,Los Angeles,Los Angeles,Enrollees,11
CRENSHAW ARTS/TECH CHARTER HS,CRENSHAW ARTS/TECH CHARTER HS053910,Los Angeles,Los Angeles,Admits,15
CRENSHAW ARTS/TECH CHARTER HS,CRENSHAW ARTS/TECH CHARTER HS053910,Los Angeles,Los Angeles,Applicants,34
CRENSHAW LEARN CHARTER HS,CRENSHAW LEARN CHARTER HS051569,Los Angeles,Los Angeles,Enrollees,15
CRENSHAW LEARN CHARTER HS,CRENSHAW LEARN CHARTER HS051569,Los Angeles,Los Angeles,Admits,24
CRENSHAW LEARN CHARTER HS,CRENSHAW LEARN CHARTER HS051569,Los Angeles,Los Angeles,Applicants,45
CRESCENTA VALLEY HIGH SCHOOL,CRESCENTA VALLEY HIGH SCHOOL051313,La Crescenta,Los Angeles,Enrollees,99
CRESCENTA VALLEY HIGH SCHOOL,CRESCENTA VALLEY HIGH SCHOOL051313,La Crescenta,Los Angeles,Admits,207
CRESCENTA VALLEY HIGH SCHOOL,CRESCENTA VALLEY HIGH SCHOOL051313,La Crescenta,Los Angeles,Applicants,298
CRESPI CARMELITE HIGH SCHOOL,CRESPI CARMELITE HIGH SCHOOL050867,Encino,Los Angeles,Enrollees,9
CRESPI CARMELITE HIGH SCHOOL,CRESPI CARMELITE HIGH SCHOOL050867,Encino,Los Angeles,Admits,26
CRESPI CARMELITE HIGH SCHOOL,CRESPI CARMELITE HIGH SCHOOL050867,Encino,Los Angeles,Applicants,52
CRISTO REY HS-SACRAMENTO,CRISTO REY HS-SACRAMENTO054211,Sacramento,Sacramento,Enrollees,3
CRISTO REY HS-SACRAMENTO,CRISTO REY HS-SACRAMENTO054211,Sacramento,Sacramento,Admits,11
CRISTO REY HS-SACRAMENTO,CRISTO REY HS-SACRAMENTO054211,Sacramento,Sacramento,Applicants,21
