CA High School,Calculation1,City,County,Measure Names,Measure Values
ACALANES HIGH SCHOOL,ACALANES HIGH SCHOOL051315,Lafayette,Contra Costa,Applicants,151
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Enrollees,35
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Admits,61
ADOLFO CAMARILLO HIGH SCHOOL,ADOLFO CAMARILLO HIGH SCHOOL050438,Camarillo,Ventura,Applicants,98
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Enrollees,44
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Admits,75
ADRIAN C WILCOX HIGH SCHOOL,ADRIAN C WILCOX HIGH SCHOOL053276,Santa Clara,Santa Clara,Applicants,108
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Enrollees,6
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Admits,12
AGBU MANOOGIAN-DEMIRDJIAN SCH,AGBU MANOOGIAN-DEMIRDJIAN SCH050462,Canoga Park,Los Angeles,Applicants,27
AGBU VATCHE AND TAMAR MANOUKIAN HS,AGBU VATCHE AND TAMAR MANOUKIAN HS054246,Pasadena,Los Angeles,Enrollees,6
AGBU VATCHE AND TAMAR MANOUKIAN HS,AGBU VATCHE AND TAMAR MANOUKIAN HS054246,Pasadena,Los Angeles,Admits,12
AGBU VATCHE AND TAMAR MANOUKIAN HS,AGBU VATCHE AND TAMAR MANOUKIAN HS054246,Pasadena,Los Angeles,Applicants,22
AGOURA HIGH SCHOOL,AGOURA HIGH SCHOOL050003,Agoura Hills,Los Angeles,Enrollees,47
AGOURA HIGH SCHOOL,AGOURA HIGH SCHOOL050003,Agoura Hills,Los Angeles,Admits,110
AGOURA HIGH SCHOOL,AGOURA HIGH SCHOOL050003,Agoura Hills,Los Angeles,Applicants,170
AL ARQAM COLL PREPARATORY SCH,AL ARQAM COLL PREPARATORY SCH054175,Sacramento,Sacramento,Enrollees,
AL ARQAM COLL PREPARATORY SCH,AL ARQAM COLL PREPARATORY SCH054175,Sacramento,Sacramento,Admits,6
AL ARQAM COLL PREPARATORY SCH,AL ARQAM COLL PREPARATORY SCH054175,Sacramento,Sacramento,Applicants,8
ALAIN LEROY LOCKE COLLEGE PREP,ALAIN LEROY LOCKE COLLEGE PREP054367,Los Angeles,Los Angeles,Enrollees,36
ALAIN LEROY LOCKE COLLEGE PREP,ALAIN LEROY LOCKE COLLEGE PREP054367,Los Angeles,Los Angeles,Admits,59
ALAIN LEROY LOCKE COLLEGE PREP,ALAIN LEROY LOCKE COLLEGE PREP054367,Los Angeles,Los Angeles,Applicants,105
ALAMEDA COMMUNITY LEARNING CTR,ALAMEDA COMMUNITY LEARNING CTR050011,Alameda,Alameda,Enrollees,8
ALAMEDA COMMUNITY LEARNING CTR,ALAMEDA COMMUNITY LEARNING CTR050011,Alameda,Alameda,Admits,10
ALAMEDA COMMUNITY LEARNING CTR,ALAMEDA COMMUNITY LEARNING CTR050011,Alameda,Alameda,Applicants,11
ALAMEDA HIGH SCHOOL,ALAMEDA HIGH SCHOOL050005,Alameda,Alameda,Enrollees,95
ALAMEDA HIGH SCHOOL,ALAMEDA HIGH SCHOOL050005,Alameda,Alameda,Admits,148
ALAMEDA HIGH SCHOOL,ALAMEDA HIGH SCHOOL050005,Alameda,Alameda,Applicants,215
ALAMEDA SCIENCE & TECHLGY INST,ALAMEDA SCIENCE & TECHLGY INST050029,Alameda,Alameda,Enrollees,16
ALAMEDA SCIENCE & TECHLGY INST,ALAMEDA SCIENCE & TECHLGY INST050029,Alameda,Alameda,Admits,23
ALAMEDA SCIENCE & TECHLGY INST,ALAMEDA SCIENCE & TECHLGY INST050029,Alameda,Alameda,Applicants,29
ALBANY HIGH SCHOOL,ALBANY HIGH SCHOOL050035,Albany,Alameda,Enrollees,51
ALBANY HIGH SCHOOL,ALBANY HIGH SCHOOL050035,Albany,Alameda,Admits,94
ALBANY HIGH SCHOOL,ALBANY HIGH SCHOOL050035,Albany,Alameda,Applicants,138
ALBERT EINSTEIN LETTER ART SCI,ALBERT EINSTEIN LETTER ART SCI054493,Valencia,Los Angeles,Enrollees,
ALBERT EINSTEIN LETTER ART SCI,ALBERT EINSTEIN LETTER ART SCI054493,Valencia,Los Angeles,Admits,8
ALBERT EINSTEIN LETTER ART SCI,ALBERT EINSTEIN LETTER ART SCI054493,Valencia,Los Angeles,Applicants,13
ALEXANDER HAMILTON HIGH SCHOOL,ALEXANDER HAMILTON HIGH SCHOOL051525,Los Angeles,Los Angeles,Enrollees,70
ALEXANDER HAMILTON HIGH SCHOOL,ALEXANDER HAMILTON HIGH SCHOOL051525,Los Angeles,Los Angeles,Admits,124
ALEXANDER HAMILTON HIGH SCHOOL,ALEXANDER HAMILTON HIGH SCHOOL051525,Los Angeles,Los Angeles,Applicants,216
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL050050,Alhambra,Los Angeles,Enrollees,96
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL050050,Alhambra,Los Angeles,Admits,143
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL050050,Alhambra,Los Angeles,Applicants,225
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL051915,Martinez,Contra Costa,Enrollees,16
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL051915,Martinez,Contra Costa,Admits,36
ALHAMBRA HIGH SCHOOL,ALHAMBRA HIGH SCHOOL051915,Martinez,Contra Costa,Applicants,52
ALISAL HIGH SCHOOL,ALISAL HIGH SCHOOL052742,Salinas,Monterey,Enrollees,16
ALISAL HIGH SCHOOL,ALISAL HIGH SCHOOL052742,Salinas,Monterey,Admits,29
ALISAL HIGH SCHOOL,ALISAL HIGH SCHOOL052742,Salinas,Monterey,Applicants,60
ALISO NIGUEL HIGH SCHOOL,ALISO NIGUEL HIGH SCHOOL051324,Aliso Viejo,Orange,Enrollees,84
ALISO NIGUEL HIGH SCHOOL,ALISO NIGUEL HIGH SCHOOL051324,Aliso Viejo,Orange,Admits,144
ALISO NIGUEL HIGH SCHOOL,ALISO NIGUEL HIGH SCHOOL051324,Aliso Viejo,Orange,Applicants,209
ALLIANCE CINDY/BILL SIMON TECH,ALLIANCE CINDY/BILL SIMON TECH051804,Los Angeles,Los Angeles,Enrollees,
ALLIANCE CINDY/BILL SIMON TECH,ALLIANCE CINDY/BILL SIMON TECH051804,Los Angeles,Los Angeles,Admits,4
ALLIANCE CINDY/BILL SIMON TECH,ALLIANCE CINDY/BILL SIMON TECH051804,Los Angeles,Los Angeles,Applicants,12
ALLIANCE COLLINS FAMILY COLRDY,ALLIANCE COLLINS FAMILY COLRDY054118,Huntington Park,Los Angeles,Enrollees,35
ALLIANCE COLLINS FAMILY COLRDY,ALLIANCE COLLINS FAMILY COLRDY054118,Huntington Park,Los Angeles,Admits,51
ALLIANCE COLLINS FAMILY COLRDY,ALLIANCE COLLINS FAMILY COLRDY054118,Huntington Park,Los Angeles,Applicants,78
ALLIANCE DR OLGA MOHAN HIGH SC,ALLIANCE DR OLGA MOHAN HIGH SC051779,Los Angeles,Los Angeles,Enrollees,14
ALLIANCE DR OLGA MOHAN HIGH SC,ALLIANCE DR OLGA MOHAN HIGH SC051779,Los Angeles,Los Angeles,Admits,33
